postgreSQL Put,dynamoDB Put,postgreSQL Get,dynamoDB Get
48691400,406071400,44376700,55057700
44576800,50160100,41884500,44442900
42976100,48610200,41452700,45722500
43818500,49477500,42919200,45983200
41773700,49912400,47704200,48636700
43339600,49421400,41986500,44603100
46681800,50984000,44673300,52419400
45165300,53709200,52507100,45759500
47353600,48777300,41627500,43709500
42906100,52038300,42850400,42472100
50683300,48338600,45994900,50420800
45095300,52734300,44337300,45974400
42106300,48647100,44013500,48400000
42072400,55727000,46780400,46462000
49229200,46626200,45379200,46736500
46044100,48442400,45755100,48623300
42623300,48022400,42375200,47491900
44286100,54737700,44574300,61121300
43995300,47136700,50783800,51101300
49756400,51140100,42686300,47343300
48375700,49684300,43211800,46541200
42288200,53889300,44025300,44653000
50831800,47291100,44323500,63075400
44479500,50250500,44835300,49813100
43050700,46969500,57629900,46816600
52939300,54915800,44361300,62165500
46265800,56081900,41659200,48747300
47263000,52121000,40852500,46029600
43435700,47194500,48432700,51127900
43573700,47838200,46405100,54045400
43962100,48762300,46853700,44885500
44620200,53767200,42926100,47729500
44061600,52802000,41578300,48021400
46134600,52224100,45084900,47489600
45407100,47987400,45663900,46604700
43178600,49038500,44996500,49098800
45475300,46910500,47415000,44124300
45993700,48015800,43923500,47838200
48309900,50628500,44953500,50827300
45805900,49865500,42446300,46377500
44681200,46462300,44862400,46949300
49919900,48930700,48756200,43907100
42977600,47741200,36641000,47693900
45599300,55605200,45482300,42971700
49696600,46602900,42637300,43100700
45566800,48515900,44180200,49432200
42398900,47847800,45549300,46552000
43536000,46777200,43857100,50792000
44926000,48258000,41067200,47044300
44279100,53180100,45862600,47038800
44177100,49675100,45834100,50232600
49993300,54170700,42443500,47437600
42489100,47923800,42829900,46500600
45296500,49546300,41489000,45000400
43354700,46669000,48614800,44925300
45462600,46915100,48933600,44701800
43139300,50391000,46215700,45462100
45860500,47113800,45234600,43541000
47643400,53703300,44865100,45433300
43166200,48164100,42433400,43213100
44111000,47818300,46279800,55010800
42109100,50758700,46903600,44101400
41851100,48048700,43410000,46008500
44306800,49625400,42898600,46690400
44330800,46431200,43139000,50197200
45085300,46179500,41281900,52346000
43209900,51985400,42905700,54009500
41786700,47118100,47591800,44017000
45556800,48799700,42541000,44200400
41983700,49543500,52163000,50597200
42628800,50962800,41096400,46784400
43949900,47585400,40244700,45020500
43816100,50534100,44411800,47427200
43465900,49036600,45840000,50696600
44904900,47543400,41449100,47765500
42943400,47237600,45457200,51485500
44261400,48457500,41403900,45355800
44220200,47778300,46622400,47957600
45674200,47595400,47091500,43802900
48858500,47535600,47847000,48043800
43610900,52951000,50438100,45485500
50959300,51008500,41220200,43876900
43702200,57959500,43801400,60813100
44610400,50926200,43624600,42895400
48658500,51546000,45371800,43676300
58674100,53201000,41341200,45292000
42674800,55841800,47115000,47910800
45868800,45646600,44651800,49269100
43664000,47528500,45012900,48864400
49471300,51997000,44084300,45735200
44616700,53846000,42686600,61147600
49643300,52189400,46530700,52169900
43453900,47982000,40666600,43180200
45724100,46918700,46441000,50779400
48483600,51029000,40368700,53481100
48820800,51211200,41204300,50668200
43468100,53683400,40994200,53887300
43026000,46993000,46475100,43944200
42313400,49309300,40454700,43618000
52943200,53598700,41609700,44786500
43773700,55454000,50197600,52243400
48472100,52305300,44530500,47859200
43006700,49176100,47666500,46733000
41795700,48274400,42388200,47699900
45372500,47378100,44443400,89847000
44010500,48826300,41692800,46602200
44179700,49197900,41917200,47581700
43482700,48840500,42095100,43521800
47406100,50478400,45227000,44110900
42217000,69899000,45630800,46700600
42764200,46526200,45586200,46087300
41676400,52034700,44647400,46896200
49166400,48878800,42344000,52055800
43791500,47208000,42194200,50808100
45577700,47178200,43903000,47969700
44092400,47351100,42293400,49424500
43111200,50197300,41781000,48153100
39870100,48081700,48043400,53445500
47238800,47528200,43332700,50436800
44466600,51362400,41935300,50082900
42108500,46908300,42221600,49661300
42316900,50791800,41600300,51024900
41818100,46901600,43062100,47524400
43759400,52333900,41812300,48772800
42294200,46883500,41417900,51631800
46103000,49555200,42549400,51376600
43519100,52116400,44036800,46658600
43125700,55798000,42623800,49606800
46954700,48800200,42762500,45746400
46388000,53378500,42956600,47198400
43558800,46841600,44702900,45336800
46301100,49451700,50453700,46366400
51848000,46448400,42577200,60337600
43320100,53632300,41695300,45155900
43538200,55567800,44531000,48522900
46655000,51465200,47572000,44572900
42367200,47930900,45713500,46867300
47105100,49801200,41528300,51662500
47357200,47116500,41395500,60515500
64801100,53823100,41821900,53444400
45226700,49644700,45776000,51230800
57701700,46953900,40926400,43864900
43702800,49323900,43380700,47560500
44666900,49685800,41892400,49720500
44408500,50944500,42301700,54906200
47095400,49213600,40429400,48763700
41878300,49294000,42624200,47619800
41463500,54611400,43733800,52038000
42056800,52479100,40308700,44851400
43274000,49286700,46280800,45000100
42282200,54208000,45445700,47197200
48049800,55902300,43273400,48159500
42634600,51951700,44133300,47013700
43324300,52257100,41547500,49330600
48639800,67775500,43770200,49843200
44180500,50525100,42178700,54125900
46382100,68536200,43871700,46955300
41924400,54598700,44901700,50301000
41918800,51803900,41375900,54994800
43803100,46680300,53092000,45361600
43940400,47178000,43370400,47371300
47498200,46934900,45181800,51771600
42083000,45540000,43023100,45801800
46301900,55627200,45528000,53840900
42533900,48168100,41193600,51673200
41902000,46511200,46847700,49077600
42938200,49324900,41315400,52815500
43485800,46636700,40553900,49260300
42435800,48069200,40398600,80309500
44511900,48919000,44641900,46880500
45751700,47359500,41122800,49178300
44248400,52142500,43941800,46079500
42703800,48539200,43943400,47881600
43362100,47134400,41953500,50655000
43557500,53041200,43914500,50006900
42097700,46327600,41401200,45871200
44507200,51598600,43766100,47017700
45936200,47112600,43135700,51122100
42823500,46525100,43640800,48429300
43211500,46682700,41380100,49881900
43349000,46403400,48114600,46977000
43722400,48987300,42385800,50850300
43907800,51225300,36014000,50329500
42336300,54630900,43506400,50089600
46018000,47957700,41937700,42668700
42338600,57648400,46334100,45061000
41552100,49311900,45644500,47539300
43730800,47698500,44014600,47520900
46135800,52308500,45332400,44328700
43959400,46502400,45898700,46391400
41782100,49118800,46430500,49714000
44147900,48249300,40982700,50886900
43311600,47036300,41273000,46657500
42577200,45064300,42196100,52062800
46229900,46827500,42060700,50558100
43342200,49662100,44113200,48695800
49075000,46316800,45076300,45676800
43324700,52887600,42533400,47034200
48607500,47469000,44462800,43890500
49006900,51921900,44599400,42985100
